iter	Passed	Remaining
451	1070	1297
452	1073	1295
453	1076	1294
454	1078	1292
455	1081	1289
456	1085	1289
457	1087	1286
458	1090	1284
459	1092	1282
460	1096	1281
461	1097	1278
462	1099	1275
463	1101	1272
464	1103	1269
465	1104	1265
466	1107	1263
467	1108	1260
468	1110	1257
469	1112	1254
470	1114	1251
471	1115	1247
472	1117	1245
473	1119	1241
474	1120	1238
475	1122	1235
476	1124	1232
477	1126	1230
478	1128	1227
479	1130	1224
480	1131	1221
481	1133	1218
482	1134	1214
483	1136	1211
484	1137	1208
485	1139	1204
486	1140	1201
487	1141	1198
488	1143	1194
489	1144	1191
490	1146	1188
491	1147	1185
492	1149	1181
493	1150	1178
494	1152	1175
495	1153	1172
496	1155	1169
497	1157	1166
498	1158	1163
499	1160	1160
500	1161	1157
501	1163	1153
502	1164	1150
503	1166	1147
504	1168	1145
505	1169	1142
506	1171	1139
507	1172	1135
508	1174	1132
509	1175	1129
510	1177	1126
511	1178	1123
512	1180	1120
513	1182	1117
514	1183	1114
515	1185	1111
516	1186	1108
517	1188	1105
518	1189	1102
519	1191	1099
520	1193	1096
521	1194	1093
522	1196	1091
523	1198	1088
524	1199	1085
525	1201	1082
526	1203	1079
527	1204	1076
528	1206	1073
529	1207	1071
530	1209	1068
531	1211	1065
532	1213	1063
533	1215	1060
534	1216	1057
535	1218	1054
536	1219	1051
537	1221	1048
538	1222	1045
539	1223	1042
540	1225	1039
541	1227	1037
542	1228	1034
543	1230	1031
544	1231	1028
545	1233	1025
546	1235	1022
547	1236	1020
548	1238	1017
549	1239	1014
550	1241	1012
551	1243	1009
552	1245	1006
553	1247	1004
554	1249	1001
555	1250	998
556	1252	995
557	1253	993
558	1255	990
559	1256	987
560	1258	984
561	1260	982
562	1261	979
563	1263	976
564	1264	973
565	1266	970
566	1268	968
567	1269	965
568	1271	963
569	1273	960
570	1275	957
571	1276	955
572	1278	952
573	1280	950
574	1281	947
575	1283	944
576	1284	941
577	1286	939
578	1288	936
579	1290	934
580	1291	931
581	1293	929
582	1295	926
583	1296	923
584	1298	921
585	1300	918
586	1301	916
587	1303	913
588	1305	910
589	1306	908
590	1308	905
591	1309	902
592	1311	899
593	1312	897
594	1313	894
595	1315	891
596	1316	888
597	1318	886
598	1320	883
599	1321	881
600	1323	878
601	1324	875
602	1326	873
603	1327	870
604	1329	867
605	1330	865
606	1332	862
607	1334	860
608	1335	857
609	1337	855
610	1339	852
611	1340	849
612	1342	847
613	1343	844
614	1346	842
615	1348	840
616	1350	838
617	1351	835
618	1353	833
619	1354	830
620	1356	827
621	1358	825
622	1359	822
623	1362	820
624	1363	818
625	1365	816
626	1367	813
627	1368	810
628	1370	808
629	1372	805
630	1373	803
631	1375	800
632	1377	798
633	1379	796
634	1380	793
635	1382	791
636	1383	788
637	1385	786
638	1386	783
639	1388	781
640	1390	778
641	1391	776
642	1394	773
643	1395	771
644	1397	768
645	1398	766
646	1400	763
647	1401	761
648	1403	758
649	1404	756
650	1406	753
651	1408	751
652	1409	749
653	1411	746
654	1412	744
655	1414	741
656	1415	739
657	1417	736
658	1418	734
659	1420	731
660	1422	729
661	1424	727
662	1426	725
663	1428	722
664	1429	720
665	1431	717
666	1432	715
667	1434	712
668	1435	710
669	1438	708
670	1440	706
671	1441	703
672	1443	701
673	1445	699
674	1446	696
675	1448	694
676	1449	691
677	1451	689
678	1453	687
679	1455	684
680	1457	682
681	1459	680
682	1460	677
683	1462	675
684	1463	673
685	1465	670
686	1467	668
687	1468	666
688	1470	663
689	1472	661
690	1473	659
691	1475	656
692	1476	654
693	1478	651
694	1479	649
695	1481	647
696	1482	644
697	1484	642
698	1486	639
699	1487	637
700	1489	635
701	1490	632
702	1492	630
703	1493	627
704	1494	625
705	1496	623
706	1498	620
707	1499	618
708	1501	616
709	1503	613
710	1504	611
711	1506	609
712	1508	607
713	1509	604
714	1511	602
715	1512	599
716	1514	597
717	1515	595
718	1517	593
719	1519	590
720	1520	588
721	1522	586
722	1523	583
723	1524	581
724	1526	579
725	1528	576
726	1530	574
727	1531	572
728	1533	569
729	1534	567
730	1536	565
731	1537	562
732	1538	560
733	1540	558
734	1542	556
735	1543	553
736	1545	551
737	1547	549
738	1548	546
739	1550	544
740	1551	542
741	1553	540
742	1554	537
743	1557	535
744	1558	533
745	1560	531
746	1562	529
747	1563	526
748	1565	524
749	1567	522
750	1569	520
751	1570	518
752	1572	515
753	1574	513
754	1576	511
755	1577	509
756	1579	506
757	1580	504
758	1582	502
759	1583	500
760	1585	497
761	1587	495
762	1589	493
763	1591	491
764	1592	489
765	1593	486
766	1595	484
767	1597	482
768	1598	480
769	1599	477
770	1601	475
771	1603	473
772	1604	471
773	1606	468
774	1607	466
775	1609	464
776	1610	462
777	1611	459
778	1613	457
779	1614	455
780	1616	453
781	1618	451
782	1619	448
783	1621	446
784	1622	444
785	1624	442
786	1626	440
787	1628	438
788	1629	435
789	1631	433
790	1632	431
791	1634	429
792	1636	427
793	1637	424
794	1638	422
795	1640	420
796	1641	418
797	1643	415
798	1644	413
799	1646	411
800	1647	409
801	1649	407
802	1650	404
803	1652	402
804	1653	400
805	1655	398
806	1656	396
807	1658	394
808	1660	391
809	1662	389
810	1663	387
811	1665	385
812	1667	383
813	1669	381
814	1670	379
815	1672	377
816	1673	374
817	1675	372
818	1677	370
819	1678	368
820	1680	366
821	1682	364
822	1683	362
823	1685	359
824	1686	357
825	1688	355
826	1689	353
827	1691	351
828	1693	349
829	1695	347
830	1696	345
831	1698	342
832	1699	340
833	1701	338
834	1703	336
835	1704	334
836	1706	332
837	1708	330
838	1710	328
839	1712	326
840	1713	324
841	1715	321
842	1717	319
843	1718	317
844	1720	315
845	1722	313
846	1724	311
847	1726	309
848	1728	307
849	1729	305
850	1731	303
851	1733	301
852	1734	298
853	1736	296
854	1738	294
855	1740	292
856	1742	290
857	1744	288
858	1746	286
859	1748	284
860	1750	282
861	1753	280
862	1755	278
863	1756	276
864	1758	274
865	1759	272
866	1761	270
867	1763	268
868	1764	266
869	1766	263
870	1768	261
871	1770	259
872	1771	257
873	1773	255
874	1774	253
875	1776	251
876	1778	249
877	1780	247
878	1782	245
879	1785	243
880	1786	241
881	1788	239
882	1790	237
883	1791	235
884	1793	233
885	1794	230
886	1796	228
887	1799	226
888	1800	224
889	1802	222
890	1804	220
891	1806	218
892	1808	216
893	1809	214
894	1813	212
895	1815	210
896	1817	208
897	1818	206
898	1820	204
899	1822	202
900	1824	200
901	1825	198
902	1828	196
903	1831	194
904	1832	192
905	1834	190
906	1836	188
907	1837	186
908	1839	184
909	1841	182
910	1843	180
911	1845	178
912	1847	176
913	1848	173
914	1850	171
915	1852	169
916	1853	167
917	1855	165
918	1856	163
919	1858	161
920	1860	159
921	1862	157
922	1863	155
923	1865	153
924	1866	151
925	1868	149
926	1869	147
927	1871	145
928	1873	143
929	1874	141
930	1876	139
931	1878	137
932	1879	134
933	1881	132
934	1882	130
935	1883	128
936	1885	126
937	1887	124
938	1888	122
939	1890	120
940	1892	118
941	1893	116
942	1895	114
943	1896	112
944	1898	110
945	1899	108
946	1901	106
947	1903	104
948	1905	102
949	1906	100
950	1908	98
951	1909	96
952	1911	94
953	1913	92
954	1914	90
955	1916	88
956	1918	86
957	1919	84
958	1921	82
959	1922	80
960	1924	78
961	1925	76
962	1927	74
963	1928	72
964	1930	70
965	1932	68
966	1933	65
967	1935	63
968	1936	61
969	1938	59
970	1939	57
971	1941	55
972	1942	53
973	1944	51
974	1945	49
975	1947	47
976	1949	45
977	1950	43
978	1952	41
979	1953	39
980	1955	37
981	1956	35
982	1958	33
983	1959	31
984	1961	29
985	1963	27
986	1964	25
987	1965	23
988	1967	21
989	1968	19
990	1970	17
991	1971	15
992	1973	13
993	1974	11
994	1976	9
995	1977	7
996	1979	5
997	1980	3
998	1982	1
999	1990	0
